amplitude [Vpp],frequency [Hz],reflection/transmission
0.16055555555555556,1564666.6666666667,0.9730570695058517
0.16055555555555556,1565333.3333333333,0.9607663868559422
0.16055555555555556,1566000.0,0.9724290141883143
0.16055555555555556,1566666.6666666667,0.9781860018056621
0.16055555555555556,1567333.3333333333,0.9783062373145035
0.16055555555555556,1568000.0,0.9667096655041055
0.16055555555555556,1568666.6666666667,0.9789780958415647
0.16055555555555556,1569333.3333333333,0.9663632763195455
0.16055555555555556,1570000.0,0.9724090892015984
0.16055555555555556,1570666.6666666667,0.9727479250615301
0.16055555555555556,1571333.3333333333,0.972070659481041
0.16055555555555556,1572000.0,0.9721901469832308
0.16055555555555556,1572666.6666666667,0.9546551406980518
0.16055555555555556,1573333.3333333333,0.97177192046808
0.16055555555555556,1574000.0,0.9841812223008456
0.16055555555555556,1574666.6666666667,0.9851898335974011
0.16055555555555556,1575333.3333333333,0.9608449478158599
0.16055555555555556,1576000.0,0.9662148121347696
0.16055555555555556,1576666.6666666667,0.97240928371438
0.16055555555555556,1577333.3333333333,0.9665196694892358
0.16055555555555556,1578000.0,0.9661337515202424
0.16055555555555556,1578666.6666666667,0.9715902904254615
0.16055555555555556,1579333.3333333333,0.966066393560643
0.16055555555555556,1580000.0,0.9720407921946242
0.16055555555555556,1580666.6666666667,0.9663020243933107
0.16055555555555556,1581333.3333333333,0.94890947256144
0.16055555555555556,1582000.0,0.9726185518604126
0.16055555555555556,1582666.6666666667,0.9599006897511408
0.16055555555555556,1583333.3333333333,0.9602938183889597
0.16055555555555556,1584000.0,0.9663812319119348
0.16055555555555556,1584666.6666666667,0.9726026618174837
0.16055555555555556,1585333.3333333333,0.9719949408200868
0.16055555555555556,1586000.0,0.9489289192209182
0.16055555555555556,1586666.6666666667,0.9489777452238453
0.16055555555555556,1587333.3333333333,0.9550174536128645
0.16055555555555556,1588000.0,0.9597292662690938
0.16055555555555556,1588666.6666666667,0.9488221671314881
0.16055555555555556,1589333.3333333333,0.9488174094051529
0.16055555555555556,1590000.0,0.9482245382377671
0.16055555555555556,1590666.6666666667,0.9543037171663347
0.16055555555555556,1591333.3333333333,0.9477488338150701
0.16055555555555556,1592000.0,0.9363895954749112
