amplitude [Vpp],frequency [Hz],reflection/transmission
0.05,1642666.6666666667,0.9907193309600499
0.05,1643333.3333333333,0.9564210289987892
0.05,1644000.0,0.9907193309600499
0.05,1644666.6666666667,0.9683370084126569
0.05,1645333.3333333333,1.0025136087095743
0.05,1646000.0,1.0263829803455164
0.05,1646666.6666666667,0.9908564737245793
0.05,1647333.3333333333,0.990990463781878
0.05,1648000.0,1.0025136087095743
0.05,1648666.6666666667,0.9791993387395841
0.05,1649333.3333333333,0.9574568173068967
0.05,1650000.0,0.9791993387395842
0.16055555555555556,1550000.0,0.9822005683224879
0.16055555555555556,1550666.6666666667,0.9761448668063455
0.16055555555555556,1551333.3333333333,0.9914275291828795
0.16055555555555556,1552000.0,0.9761448668063453
0.16055555555555556,1552666.6666666667,1.0036366010952589
0.16055555555555556,1553333.3333333333,0.9975168657227266
0.16055555555555556,1554000.0,0.9913971303501946
0.16055555555555556,1554666.6666666667,0.9913971303501946
0.16055555555555556,1555333.3333333333,0.9913971303501946
0.16055555555555556,1556000.0,0.9821704524039154
0.16055555555555556,1556666.6666666667,0.9852773949776625
0.16055555555555556,1557333.3333333333,0.9913971303501946
0.16055555555555556,1558000.0,0.9701490276068746
0.16055555555555556,1558666.6666666667,0.9701192812087756
0.16055555555555556,1559333.3333333333,0.9913971303501946
0.16055555555555556,1560000.0,0.9701192812087756
0.16055555555555556,1560666.6666666667,0.9852773949776625
0.16055555555555556,1561333.3333333333,0.9821704524039154
0.16055555555555556,1562000.0,0.9821704524039154
0.16055555555555556,1562666.6666666667,0.9761448668063455
0.16055555555555556,1563333.3333333333,0.9701192812087756
0.16055555555555556,1564000.0,0.9852773949776625
0.16055555555555556,1564666.6666666667,0.9852773949776625
0.16055555555555556,1565333.3333333333,0.9761448668063453
0.16055555555555556,1566000.0,0.9705456462481972
0.16055555555555556,1566666.6666666667,0.9701192812087756
0.16055555555555556,1567333.3333333333,0.9852773949776625
0.16055555555555556,1568000.0,0.9765738800758255
0.16055555555555556,1568666.6666666667,0.9645174124205685
0.16055555555555556,1569333.3333333333,0.9765738800758257
0.16055555555555556,1570000.0,0.9705456462481972
0.16055555555555556,1570666.6666666667,0.9795879969896398
0.16055555555555556,1571333.3333333333,0.9795879969896398
0.16055555555555556,1572000.0,0.9584206325451461
0.16055555555555556,1572666.6666666667,0.9645174124205685
0.16055555555555556,1573333.3333333333,0.9730379242325983
0.16055555555555556,1574000.0,0.9704762379859655
0.16055555555555556,1574666.6666666667,0.9645174124205685
0.16055555555555556,1575333.3333333333,0.973395954928664
0.16055555555555556,1576000.0,0.9795879969896398
0.16055555555555556,1576666.6666666667,0.9672739677907478
0.16055555555555556,1577333.3333333333,0.9584206325451461
0.16055555555555556,1578000.0,0.9523928298247364
0.16055555555555556,1578666.6666666667,0.9463650271043267
0.16055555555555556,1579333.3333333333,0.9673431470272693
0.16055555555555556,1580000.0,0.940337224383917
0.16055555555555556,1580666.6666666667,0.9611519806528318
0.16055555555555556,1581333.3333333333,0.9343094216635073
0.16055555555555556,1582000.0,0.9483456905213687
0.16055555555555556,1582666.6666666667,0.9483456905213687
0.16055555555555556,1583333.3333333333,0.9422273312276824
0.16055555555555556,1584000.0,0.9361089719339962
0.16055555555555556,1584666.6666666667,0.910300506366222
0.16055555555555556,1585333.3333333333,0.8966271374939773
0.16055555555555556,1586000.0,0.9043921203454278
0.16055555555555556,1586666.6666666667,0.9123997589109862
0.16055555555555556,1587333.3333333333,0.8859149881199168
0.16055555555555556,1588000.0,0.8936366111031048
0.16055555555555556,1588666.6666666667,0.8737367018819677
0.16055555555555556,1589333.3333333333,0.8677109315241611
0.16055555555555556,1590000.0,0.8752294924220589
0.16055555555555556,1590666.6666666667,0.8509822951193736
0.16055555555555556,1591333.3333333333,0.8323095306720468
0.16055555555555556,1592000.0,0.8018779646319637
0.16055555555555556,1592666.6666666667,0.7775309381016257
0.16055555555555556,1593333.3333333333,0.7530890468127012
0.16055555555555556,1594000.0,0.7100126499175353
0.16055555555555556,1594666.6666666667,0.6793392269539319
0.16055555555555556,1595333.3333333333,0.6113460452995148
0.16055555555555556,1596000.0,0.5485738318841971
0.16055555555555556,1596666.6666666667,0.46651105716882035
0.16055555555555556,1597333.3333333333,0.3470739521323179
0.16055555555555556,1598000.0,0.2859142192478903
0.16055555555555556,1598666.6666666667,0.2898308523882724
0.16055555555555556,1599333.3333333333,0.3172472843709468
0.16055555555555556,1600000.0,0.33164844314865927
0.16055555555555556,1600666.6666666667,0.3446637163536212
0.16055555555555556,1601333.3333333333,0.30079742518134217
0.16055555555555556,1602000.0,0.24674788784406973
0.16055555555555556,1602666.6666666667,0.2236698802630493
0.16055555555555556,1603333.3333333333,0.26223365272219573
0.16055555555555556,1604000.0,0.3304214140249592
0.16055555555555556,1604666.6666666667,0.43494068099389915
0.16055555555555556,1605333.3333333333,0.532951333845735
0.16055555555555556,1606000.0,0.5980821271569218
0.16055555555555556,1606666.6666666667,0.6672011482001889
0.16055555555555556,1607333.3333333333,0.6990893783803426
0.16055555555555556,1608000.0,0.7354745813025105
0.16055555555555556,1608666.6666666667,0.7896798590094635
0.16055555555555556,1609333.3333333333,0.8011080071391355
0.16055555555555556,1610000.0,0.825834284848552
0.16055555555555556,1610666.6666666667,0.8499462347711375
0.16055555555555556,1611333.3333333333,0.8616851611663545
0.16055555555555556,1612000.0,0.8875158123969191
0.16055555555555556,1612666.6666666667,0.9058782085154762
0.16055555555555556,1613333.3333333333,0.9039948858366499
0.16055555555555556,1614000.0,0.9043921203454278
0.16055555555555556,1614666.6666666667,0.9164506819500335
0.16055555555555556,1615333.3333333333,0.9223574667154434
